fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD003,cnn,mse,30,0.0005,"ch64,k7,poolmax,p0.3",7,14.113,17.653,1023.9,23.0
FD003,cnn,asym,50,0.0005,"ch64,k7,poolmax,p0.3",7,14.04,17.857,838.8,15.9
FD003,cnn,asym,30,0.0005,"ch96,k3,poolavg,p0.2",7,15.562,19.708,980.4,12.0
FD003,cnn,mse,50,0.0005,"ch96,k3,poolavg,p0.3",7,17.498,22.602,1578.0,9.7
FD003,cnn,mse,30,0.0005,"ch96,k3,poolmax,p0.2",7,17.593,21.748,2155.0,10.7
FD003,cnn,asym,50,0.0005,"ch96,k3,poolmax,p0.2",7,23.515,30.066,8301.1,7.2
FD003,cnn,asym,30,0.0005,"ch96,k3,poolmax,p0.3",7,16.781,20.311,1185.3,11.1
FD003,cnn,mse,50,0.0005,"ch96,k5,poolavg,p0.2",7,15.305,21.562,1429.8,11.7
FD003,cnn,mse,30,0.0005,"ch96,k5,poolavg,p0.3",7,14.769,19.728,1163.2,11.1
FD003,cnn,asym,50,0.0005,"ch96,k5,poolavg,p0.3",7,15.729,21.797,1306.6,11.2
FD003,cnn,asym,30,0.0005,"ch96,k5,poolmax,p0.2",7,14.02,17.403,871.6,14.7
FD003,cnn,mse,50,0.0005,"ch96,k5,poolmax,p0.3",7,14.305,17.707,799.2,14.3
FD003,cnn,mse,30,0.0005,"ch96,k7,poolavg,p0.2",7,13.464,16.759,587.1,10.8
FD003,cnn,asym,50,0.0005,"ch96,k7,poolavg,p0.2",7,13.607,18.003,541.4,11.0
FD003,cnn,asym,30,0.0005,"ch96,k7,poolavg,p0.3",7,12.969,17.93,600.0,12.8
FD003,cnn,mse,50,0.0005,"ch96,k7,poolmax,p0.2",7,14.211,17.384,883.9,20.8
FD003,cnn,mse,30,0.0005,"ch96,k7,poolmax,p0.3",7,13.792,17.267,977.3,16.1
FD003,cnn,asym,50,0.0005,"ch96,k7,poolmax,p0.3",7,13.988,16.986,759.0,11.4
FD003,cnn,asym,30,0.0005,"ch128,k3,poolavg,p0.2",7,16.068,21.147,1703.6,10.0
FD003,cnn,mse,50,0.0005,"ch128,k3,poolavg,p0.3",7,17.532,23.134,2292.2,12.7
