fd,model,loss,window,lr,hp,test_rmse,test_rmse_std,nasa,val_rmse,n
FD001,lstm,mse,30,0.001,"hid160,layers2,p0.2",13.653,0.232,308.95,13.028,2
FD001,gru,asym,30,0.001,"hid64,layers1,p0.3",13.657,0.058,288.9,13.364,2
FD001,gru,asym,30,0.001,"hid64,layers2,p0.2",13.662,0.011,325.9,12.648,2
FD001,gru,mse,30,0.001,"hid64,layers2,p0.3",13.662,0.411,325.2,12.768,2
FD001,lstm,asym,30,0.001,"hid128,layers1,p0.3",13.662,0.305,283.7,12.854,2
FD001,patchtst,asym,50,0.001,"patch10,stride5,d_model128,layers3,revinFalse",13.663,0.604,310.55,10.576,2
FD001,lstm,mse,30,0.001,"hid64,layers2,p0.2",13.668,0.095,356.8,13.248,2
FD001,gru,mse,50,0.001,"hid96,layers2,p0.2",13.67,0.524,306.65,10.65,2
FD001,gru,asym,50,0.001,"hid96,layers3,p0.2",13.672,0.037,289.35,10.886,2
FD001,gru,mse,30,0.0,"hid128,layers1,p0.2",13.676,0.156,337.9,13.335,2
FD001,bilstm,mse,30,0.0,"hid64,layers2,p0.2",13.678,1.696,355.45,14.25,2
FD001,gru,asym,50,0.0,"hid128,layers1,p0.2",13.68,0.186,286.55,10.774,2
FD001,gru,asym,30,0.0,"hid64,layers2,p0.2",13.682,0.086,335.65,12.582,2
FD001,lstm,mse,30,0.0,"hid96,layers1,p0.3",13.689,0.373,350.15,12.884,2
FD001,gru,asym,50,0.0,"hid128,layers3,p0.3",13.698,1.066,291.45,10.78,2
FD001,gru,asym,50,0.001,"hid64,layers3,p0.2",13.7,0.388,293.05,10.512,2
FD001,lstm,asym,50,0.001,"hid64,layers3,p0.3",13.704,0.088,319.3,11.086,2
FD001,lstm,asym,50,0.0,"hid96,layers1,p0.3",13.712,0.282,312.9,11.152,2
FD001,lstm,asym,30,0.0,"hid64,layers2,p0.3",13.715,0.566,319.4,13.318,2
FD001,gru,mse,50,0.001,"hid96,layers3,p0.2",13.716,0.134,291.65,10.965,2
FD001,gru,asym,50,0.001,"hid128,layers2,p0.2",13.721,0.169,294.8,10.671,2
FD001,bilstm,asym,30,0.001,"hid128,layers2,p0.2",13.724,1.24,344.7,13.61,2
FD001,gru,mse,50,0.0,"hid96,layers3,p0.3",13.729,0.037,293.25,10.979,2
FD001,lstm,asym,30,0.001,"hid96,layers1,p0.2",13.729,0.409,307.95,12.869,2
FD001,gru,asym,50,0.001,"hid128,layers3,p0.2",13.736,0.004,298.8,10.734,2
FD001,gru,asym,30,0.001,"hid96,layers1,p0.3",13.738,0.319,325.4,12.964,2
FD001,lstm,asym,30,0.001,"hid160,layers2,p0.3",13.744,0.1,327.2,12.771,2
FD001,lstm,asym,30,0.001,"hid128,layers2,p0.3",13.756,0.279,348.65,12.984,2
FD001,lstm,asym,30,0.001,"hid64,layers1,p0.2",13.756,0.197,351.75,12.944,2
FD001,lstm,asym,30,0.001,"hid64,layers2,p0.2",13.756,0.576,357.15,13.281,2
FD001,lstm,asym,50,0.001,"hid64,layers3,p0.2",13.756,0.855,327.8,10.843,2
FD001,gru,asym,50,0.001,"hid96,layers2,p0.3",13.762,0.078,291.4,10.743,2
FD001,gru,mse,50,0.001,"hid96,layers1,p0.3",13.762,0.473,300.2,11.016,2
FD001,gru,asym,50,0.0,"hid64,layers1,p0.2",13.77,1.363,260.6,13.075,2
FD001,lstm,asym,30,0.001,"hid96,layers2,p0.2",13.774,0.46,356.4,12.687,2
FD001,gru,mse,30,0.0,"hid64,layers2,p0.3",13.795,0.192,389.0,12.786,2
FD001,lstm,mse,30,0.0,"hid64,layers2,p0.3",13.796,0.293,375.8,13.285,2
FD001,bilstm,asym,30,0.001,"hid96,layers2,p0.2",13.8,0.849,314.3,13.219,2
FD001,gru,asym,30,0.001,"hid128,layers3,p0.3",13.805,0.313,355.85,12.767,2
FD001,gru,mse,30,0.0,"hid64,layers2,p0.2",13.808,0.136,371.7,12.698,2
FD001,lstm,mse,30,0.001,"hid64,layers3,p0.2",13.808,0.426,385.15,13.311,2
FD001,gru,asym,50,0.0,"hid128,layers3,p0.2",13.812,0.287,311.6,10.82,2
FD001,lstm,asym,30,0.001,"hid96,layers2,p0.3",13.818,0.127,296.4,13.163,2
FD001,bilstm,asym,30,0.001,"hid64,layers1,p0.2",13.819,0.895,332.6,13.468,2
FD001,gru,mse,30,0.001,"hid64,layers2,p0.2",13.84,0.025,335.2,12.705,2
FD001,lstm,mse,30,0.001,"hid96,layers3,p0.3",13.841,0.659,362.85,13.22,2
FD001,lstm,mse,50,0.0,"hid64,layers2,p0.3",13.843,0.1,301.0,11.273,2
FD001,bilstm,mse,50,0.001,"hid96,layers1,p0.2",13.845,0.349,333.1,11.173,2
FD001,lstm,asym,30,0.001,"hid96,layers3,p0.2",13.852,0.279,304.65,13.346,2
FD001,gru,mse,30,0.0,"hid96,layers3,p0.3",13.854,0.333,326.85,12.614,2
FD001,gru,asym,50,0.0,"hid64,layers3,p0.2",13.856,0.155,318.9,10.709,2
FD001,gru,mse,50,0.0,"hid128,layers3,p0.3",13.856,0.18,311.25,10.636,2
FD001,lstm,asym,50,0.0,"hid128,layers2,p0.3",13.858,0.612,326.7,10.852,2
FD001,lstm,mse,30,0.0,"hid64,layers3,p0.3",13.858,1.191,326.5,13.255,2
FD001,lstm,mse,50,0.0,"hid128,layers2,p0.3",13.858,0.074,333.1,10.994,2
FD001,gru,mse,30,0.0,"hid96,layers3,p0.2",13.87,0.274,329.75,12.67,2
FD001,lstm,mse,30,0.001,"hid96,layers3,p0.2",13.872,0.29,379.55,13.122,2
FD001,gru,mse,30,0.0,"hid128,layers3,p0.2",13.874,0.31,330.75,12.626,2
FD001,gru,asym,50,0.0,"hid96,layers3,p0.2",13.882,0.348,295.9,10.666,2
FD001,bilstm,mse,30,0.001,"hid128,layers2,p0.2",13.883,1.086,333.55,13.1,2
FD001,gru,mse,30,0.0,"hid128,layers3,p0.3",13.887,0.19,321.15,12.765,2
FD001,lstm,mse,30,0.0,"hid160,layers3,p0.2",13.888,0.818,330.3,12.852,2
FD001,lstm,mse,50,0.0,"hid128,layers2,p0.2",13.888,0.443,308.75,11.113,2
FD001,lstm,asym,30,0.001,"hid128,layers1,p0.2",13.892,0.133,320.95,13.196,2
FD001,lstm,mse,30,0.001,"hid96,layers2,p0.3",13.902,0.708,344.65,13.082,2
